name,numdate_given
A/Missouri/05/2011|KC883147|4|03/02/2011|USA/1-1701,2011.16427105
A/Boston/YGA_00068/2013|CY168311|4|02/28/2013|USA/1-1701,2013.15879535
A/Guam/3057/2012|CY130191|4|08/24/2012|Guam/1-1701,2012.64613279
A/Peru/PER289/2011|CY162552|4|09/02/2011|Peru/1-1701,2011.66803559
A/Boston/YGA_01055/2012|CY168919|4|12/26/2012|USA/1-1701,2012.98562628
A/California/NHRC388449/2013|KF886335|4|01/09/2013|USA/1-1701,2013.02190281
A/Delaware/11/2011|KC892523|4|11/23/2011|USA/1-1701,2011.89253936
A/New_York/06/2011|KC883156|4|04/13/2011|USA/1-1701,2011.27926078
A/Singapore/GP1318/2011|CY124199|4|07/22/2011|Singapore/1-1701,2011.55304586
A/Nicaragua/AGA2_95/2012|CY182225|4|10/20/2012|Nicaragua/1-1701,2012.80219028
A/Colorado/17/2012|KC892225|4|06/21/2012|USA/1-1701,2012.47091034
A/Boston/YGA_00049/2013|CY168191|4|01/15/2013|USA/1-1701,2013.03832991
A/Colorado/07/2011|KC892190|4|10/23/2011|USA/1-1701,2011.80766598
A/Santa_Clara/YGA_03061/2013|CY170895|4|02/04/2013|USA/1-1701,2013.09308693
A/Boston/DOA2_159/2013|CY148772|4|01/10/2013|USA/1-1701,2013.02464066
A/Florida/3180/2013|CY141195|4|01/07/2013|USA/1-1701,2013.0164271
A/Kumamoto/29_513/2012|LC091015|4|02/18/2012|Japan/1-1701,2012.13141684
A/Guam/3415/2013|CY147307|4|04/11/2013|Guam/1-1701,2013.27378508
A/Tehran/941/2012|KC865639|4|01/18/2012|Iran/1-1701,2012.04654346
A/Boston/DOA2_228/2013|CY149204|4|01/05/2013|USA/1-1701,2013.0109514
A/Nicaragua/AGA2_04/2012|CY181609|4|09/19/2012|Nicaragua/1-1701,2012.71731691
A/Santa_Clara/YGA_03002/2013|CY170455|4|01/23/2013|USA/1-1701,2013.06023272
A/Houston/JMM_71/2012|CY182769|4|12/15/2012|USA/1-1701,2012.95550992
A/Peru/PER384/2012|CY163272|4|04/09/2012|Peru/1-1701,2012.27104723
A/Tennessee/01/2012|KC893096|4|01/09/2012|USA/1-1701,2012.02190281
